step,total_reward,format,verdict,mutation_type,mutation_point,provenance,source_reliability,hallucination_penalty,brier_penalty,missing_fields,missing_keys,partial_credit,parse_error,completion_preview
1,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_type"": ""complete Fabrication"",   ""mutation_"
2,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_type"": ""missleading_target"",   ""good_file"":"
3,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortion"", ""mutation_doc_id"": ""DOC-D594"
4,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""mutation_type"": ""skewed_statistic"",   ""good_document"
5,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortion"", ""mutation_doc_id"": ""DOC-0003"
6,0.01,-0.05,,,,,,,,1.0,{'verdict'},0.11,,"{   ""mutation_type"": ""addition"",   ""mutation_doc_id"": ""DOC-0003"",   ""provenance_"
7,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_type"": ""point_mutations"",   ""distorted_valu"
8,-0.03,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'confidence'}",0.07,,"{   ""mutation_doc_id"": ""DOC-0003"",   ""mutation_position"": 41,   ""distorted_value"
9,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 3,   ""changed_value"": ""0.0% vs 0.003%"" }"
10,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
11,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{""mutation_point"": ""DOC-FAA6"", ""position"": 48, ""mutation_type"": ""interval_shift"""
12,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{""mutation_point"": 8632, ""distorted_value"": ""67%""} Explanation: The mutation poi"
13,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortion"", ""mutation_doc_id"": ""DOC-B7DF"
14,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
15,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortiation"", ""mutation_doc_id"": ""DOC-0"
16,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 47,   ""type"": ""figure"",   ""value"": ""54% v"
17,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortion"", ""mutation_doc_id"": ""DOC-0003"
18,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{""verdict"": ""false"", ""mutation_type"": ""distortion"", ""mutation_doc_id"": ""DOC-0003"
19,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{""mutation_point"": ""Seroconversion (neutralising antibody response) at 50 µg dos"
20,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": 51,   ""mutation_type"": ""point"",   ""contex"
21,0.01,-0.05,,,,,,,,1.0,{'verdict'},0.11,,"{   ""mutation_point"": ""DOC-0003"",   ""position"": 48,   ""mutation_type"": ""distorti"
22,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
23,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{""mutation_point"": ""DOC-194E"", ""position"": 79, ""mutation_type"": ""point"", ""affect"
24,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,, Gratuitous Annoucement:  A 10-year longitudinal cohort study found that adults 
25,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": 68,   ""mutation_type"": ""point"",   ""contex"
26,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""position"": 47,   ""mutation_type"": ""point"",   ""contex"
27,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,":'; mutation_point = 3 output = {   ""mutation_point"": 3,   ""position"": 41,   ""co"
28,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{""mutation_point"": 2, ""position"": 80} Explanation: The mutation point is Documen"
29,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
